,studentID,collegeID,earlyAppl,visited,alumni,outofstate,acceptStatus,acceptProb
0,PWY05BUB4I,Rice,-1.0,,-1.0,-1.0,1.0,
0,9FYGU63IH6,UPenn,-1.0,,-1.0,1.0,-1.0,
1,9FYGU63IH6,Princeton,-1.0,,-1.0,1.0,-1.0,
2,9FYGU63IH6,Harvard,1.0,,-1.0,1.0,-1.0,
3,9FYGU63IH6,Stanford,-1.0,,-1.0,-1.0,-1.0,
4,9FYGU63IH6,UCB,-1.0,,-1.0,-1.0,-1.0,
5,9FYGU63IH6,UCLA,-1.0,,-1.0,-1.0,-1.0,
6,9FYGU63IH6,JohnsHopkins,-1.0,,-1.0,1.0,-1.0,
0,BA3AWCCUQ5,UPenn,-1.0,,-1.0,1.0,0.0,
1,BA3AWCCUQ5,Yale,-1.0,,-1.0,1.0,0.0,
2,BA3AWCCUQ5,Harvard,-1.0,,-1.0,1.0,0.0,
3,BA3AWCCUQ5,Stanford,-1.0,,-1.0,1.0,0.0,
4,BA3AWCCUQ5,Cornell,-1.0,,-1.0,1.0,0.0,
5,BA3AWCCUQ5,Duke,-1.0,,-1.0,1.0,0.0,
6,BA3AWCCUQ5,USC,-1.0,,-1.0,1.0,1.0,
7,BA3AWCCUQ5,WashU,-1.0,,-1.0,1.0,1.0,
0,EDBIPXPZ4N,Vanderbilt,-1.0,,-1.0,1.0,-1.0,
0,W9S7RTA8L8,Brown,-1.0,,-1.0,1.0,0.0,
1,W9S7RTA8L8,Vanderbilt,-1.0,,-1.0,1.0,-1.0,
0,3UVDFVI9Z0,Brown,-1.0,,-1.0,1.0,-1.0,
1,3UVDFVI9Z0,UChicago,-1.0,,-1.0,1.0,1.0,
2,3UVDFVI9Z0,Columbia,-1.0,,-1.0,1.0,1.0,
3,3UVDFVI9Z0,Rice,-1.0,,-1.0,1.0,1.0,
4,3UVDFVI9Z0,Stanford,-1.0,,-1.0,1.0,-1.0,
5,3UVDFVI9Z0,Cornell,-1.0,,-1.0,1.0,-1.0,
0,CIZ3KBZZ4G,Yale,-1.0,,-1.0,1.0,-1.0,
