,studentID,classrank,admissionstest,AP,averageAP,SATsubject,GPA,GPA_w,program,schooltype,intendedgradyear,addInfo,canAfford,female,MinorityGender,MinorityRace,international,firstinfamily,sports,artist,workexp
0,PWY05BUB4I,,2290.0,7.0,5.0,3.0,3.8,4.34,Biomedical engineering,-1.0,2017.0,Basketball outside of school violin cancer awareness club founder red cross club vp orchestra leadership council religious education teacher ecoteens engineering dept of Plano internNational merit finalist national ap scholar 2nd place in 3 point contest at National Ismaili Sports Tournament Pan American Spanish forumNo special circumstances good interview and recommendations,0.0,1.0,-1.0,-1.0,-1.0,,-1.0,,
0,9FYGU63IH6,,2070.0,5.0,4.4,4.0,3.9,4.22,Mechanical Engineering,1.0,2018.0,Swimming 3 years Water Polo 3 years Foreign Language Honor Society PresidentMerit award in Social Sciences Sophomore year ,1.0,1.0,-1.0,-1.0,-1.0,,-1.0,,
0,BA3AWCCUQ5,,2200.0,6.0,4.833333333333333,3.0,4.0,4.58,Pre Med,-1.0,2012.0,City Government Youth Partnership Advisory Committee member volunteer at local hospital senior class secretary advisory class representativeNational Merit Finalist AP Scholar with Distinction,0.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,
0,EDBIPXPZ4N,,2210.0,4.0,4.25,0.0,3.72,,,-1.0,2014.0,,0.0,1.0,-1.0,-1.0,-1.0,,-1.0,,
0,W9S7RTA8L8,,2040.0,6.0,4.0,0.0,3.88,,English,-1.0,2018.0,,1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,
0,3UVDFVI9Z0,,2180.0,7.0,4.714285714285714,2.0,3.94,4.47,Classics,-1.0,2013.0,Brain Bowl President and Captain 3 years Mu Alpha Theta Pres VP Comp Coordinator 4 years member 6 years NJHS NHS member in good standing 6 years Latin Club President and comp coordinator tutor for hundreds of hoursNational Merit Finalist AP Scholar with Distinction Lots of Latin awards Brain Bowl Top Scorer awards Academic Letter awardOther high AP scores one great and one pretty good rec Essays range from great at some places to terrible at others depended on the prompt,0.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,
0,CIZ3KBZZ4G,,1760.0,2.0,3.5,2.0,3.92,4.2,Pre Law Political Science,-1.0,2015.0,District 5 Youth Commissioner for the City of San Jose Vice President of Pre Med Club Involved in GSA Involved in Interact One year of TRACK AND FIELD One year of CHEERLEADINGPrincipal s Honor Roll 4 0 both semesters in Sophomore Year Honor Roll 3 5 Every year except Rotary Youth Leadership AwardsMom doesn t even make minimum wage income I work hard without anyone s push I ve overcome bullying about my sexual orientation ,0.0,1.0,-1.0,-1.0,-1.0,,-1.0,,
0,9BQU0Y9J91,,2390.0,7.0,4.857142857142857,0.0,3.85,4.5,Economics,-1.0,2014.0,,0.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,
0,K08RDB3PCB,,2240.0,6.0,5.0,3.0,4.0,,Physics,1.0,2014.0,,0.0,1.0,-1.0,-1.0,1.0,,-1.0,,
0,BTSA2KAPL0,,1960.0,0.0,,2.0,3.98,,Political Science,-1.0,2015.0,,0.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,
