collegeID,name,acceptrate,size,public,finAidPct,instatePct
Princeton,Princeton,0.074,5142,-1,0,0
Harvard,Harvard,0.060,19929,-1,0.75,0
Yale,Yale,0.063,12336,-1,0,0
Columbia,Columbia,0.070,24221,-1,0,0
Stanford,Stanford,0.051,16795,-1,0,0
UChicago,UChicago,0.088,12558,-1,0,0
MIT,MIT,0.079,11319,-1,0,0
Duke,Duke,0.114,15856,-1,0,0
UPenn,UPenn,0.104,21296,-1,0,0
CalTech,CalTech,0.088,2209,-1,0,0
JohnsHopkins,JohnsHopkins,0.150,21484,-1,0,0
Dartmouth,Dartmouth,0.115,6298,-1,0,0
Northwestern,Northwestern,0.131,20336,-1,0,0
Brown,Brown,0.087,9181,-1,0,0
Cornell,Cornell,0.142,21850,-1,0,0
Vanderbilt,Vanderbilt,0.131,12686,-1,0,0
WashU,WashU,0.171,14348,-1,0,0
Rice,Rice,0.151,6621,-1,0,0
NotreDame,NotreDame,0.211,12179,-1,0,0
UCB,UCB,0.160,37581,1,0.66,0
Emory,Emory,0.268,14769,-1,0,0
Georgetown,Georgetown,0.174,17858,-1,0,0
CarnegieMellon,CarnegieMellon,0.246,13285,-1,0,0
UCLA,UCLA,0.186,43239,1,0,0
USC,USC,0.180,42469,1,0,0
